Node	RCore
P07222	0
P07221	0
P07224	0
P07223	0
P07226	0
P07225	0
P02809	0
P02808	0
P00628	0
P02807	0
P00629	0
P00626	0
P02805	0
P00627	0
P02804	0
P02803	0
P00624	0
P02802	0
P00625	0
P02801	0
P00622	0
P00623	0
P00620	0
P00617	0
P00618	0
P00615	0
P00616	0
P00614	0
P00611	0
P00612	0
P00610	0
P02829	0
P02828	0
P00648	0
P00649	0
P02826	0
P00646	0
P02825	0
P00647	0
P02824	0
P00644	0
P02823	0
P00645	0
P02822	0
P00642	0
P02821	0
P00643	0
P02820	0
P00640	0
P00641	0
P02819	0
P00639	0
P02818	0
P02817	0
P00637	0
P02815	0
P00638	0
P00635	0
P00636	0
P02813	0
P00633	0
P02812	0
P00634	0
P02811	0
P00631	0
P02810	0
P00632	0
P00630	0
P03025	0
P03026	0
P03027	0
P03028	0
P03030	0
P03031	0
P03032	0
P03033	0
P03034	0
P03035	0
P03036	0
P03038	0
P03039	0
P04371	0
P03040	0
P03041	0
P04372	0
P04373	0
P03042	0
P04374	0
P03043	0
P04375	0
P03044	0
P04376	0
P03045	0
P04377	0
P03046	0
P03003	0
P03004	0
P03006	0
P03007	0
P03008	0
P03009	0
P03010	0
P03011	0
P03012	0
P03013	0
P03015	0
P03017	0
P03018	0
P03019	0
P03021	0
P03023	0
P03024	0
P03069	0
P03070	0
P03071	0
P03072	0
P03077	0
P06588	0
P06587	0
P03079	0
P06589	0
P03080	0
P06591	0
P03081	0
P06590	0
P03082	0
P06593	0
P03083	0
P03084	0
P06592	0
P06595	0
P03085	0
P03086	0
P06594	0
P03087	0
P06597	0
P06596	0
P03088	0
P06599	0
P06598	0
P04378	0
P03047	0
P04379	0
P03048	0
P03049	0
P00808	0
P00809	0
P00806	0
P00807	0
P00804	0
P00805	0
P00802	0
P00803	0
P00800	0
P04380	0
P00801	0
P03050	0
P03051	0
P03052	0
P04384	0
P03053	0
P04385	0
P04386	0
P03055	0
P04387	0
P03058	0
G06046	0
G06045	0
P03059	0
G06048	0
G06047	0
G06049	0
P04391	0
P04392	0
P03061	0
P04393	0
P03062	0
P04394	0
P04395	0
G06050	0
P03064	0
P04396	0
P04397	0
P03066	0
P04398	0
P03067	0
P03068	0
P04399	0
P01242	0
P00394	0
P01241	0
P01240	0
P00392	0
P00393	0
P00390	0
P00391	0
P01239	0
P01238	0
P01237	0
P00389	0
P01236	0
P01235	0
P00387	0
P01234	0
